gtypes created on 2023-07-11 18:23:06
LOC1, LOC2, LOC3, LOC4, LOC5, LOC6, LOC7, LOC8, LOC9, LOC10, LOC11, LOC12, LOC13, LOC14, LOC15, LOC16, LOC17, LOC18, LOC19, LOC20, LOC21, LOC22, LOC23, LOC24, LOC25, LOC26, LOC27, LOC28, LOC29, LOC30, LOC31, LOC32, LOC33, LOC34, LOC35, LOC36, LOC37, LOC38, LOC39, LOC40, LOC41, LOC42, LOC43, LOC44, LOC45, LOC46, LOC47, LOC48, LOC49, LOC50, LOC51, LOC52, LOC53, LOC54, LOC55, LOC56, LOC57, LOC58, LOC59, LOC60, LOC61, LOC62, LOC63, LOC64, LOC65, LOC66, LOC67, LOC68, LOC69, LOC70, LOC71, LOC72, LOC73, LOC74, LOC75, LOC76, LOC77, LOC78, LOC79, LOC80
POP
Default 01_2019_2121 , 0101 0202 0202 0101 0201 0101 0101 0101 0201 0202 0202 0201 0202 0101 0101 0101 0101 0201 0201 0101 0202 0101 0201 0201 0101 0202 0202 0202 0101 0101 0101 0101 0201 0101 0202 0202 0202 0202 0101 0101 0101 0101 0101 0201 0202 0101 0202 0201 0202 0102 0102 0101 0201 0202 0102 0201 0202 0202 0202 0202 0202 0201 0202 0102 0202 0102 0102 0101 0201 0102 0202 0101 0201 0202 0201 0201 0202 0102 0101 0202
Default 01_2019_2122 , 0202 0201 0101 0201 0201 0101 0201 0101 0101 0101 0202 0201 0102 0101 0101 0101 0101 0201 0202 0101 0202 0101 0201 0202 0101 0101 0101 0202 0101 0101 0101 0101 0202 0202 0101 0101 0202 0202 0102 0202 0101 0101 0202 0202 0101 0101 0202 0102 0202 0202 0201 0101 0101 0202 0101 0102 0202 0202 0101 0101 0202 0201 0201 0202 0202 0101 0101 0101 0202 0101 0201 0201 0202 0101 0202 0201 0202 0101 0202 0202
Default 01_2019_2123 , 0202 0201 0101 0201 0201 0101 0101 0101 0101 0101 0202 0201 0202 0101 0102 0101 0101 0101 0202 0101 0200 0101 0201 0101 0101 0101 0101 0202 0101 0101 0101 0101 0202 0202 0101 0102 0202 0202 0102 0102 0101 0101 0202 0202 0101 0201 0202 0102 0202 0102 0201 0101 0201 0202 0101 0202 0202 0202 0201 0101 0202 0202 0201 0201 0202 0101 0101 0101 0201 0101 0201 0201 0202 0101 0202 0201 0202 0101 0202 0201
Default 01_2019_2124 , 0202 0202 0101 0201 0201 0101 0101 0101 0101 0101 0202 0201 0102 0101 0101 0101 0102 0101 0202 0101 0001 0101 0202 0202 0101 0101 0101 0202 0101 0101 0101 0101 0202 0202 0101 0102 0202 0202 0202 0102 0101 0101 0202 0202 0101 0201 0202 0201 0202 0102 0202 0101 0201 0101 0101 0102 0202 0202 0201 0101 0202 0201 0201 0201 0202 0101 0101 0101 0202 0101 0201 0202 0201 0101 0202 0201 0202 0101 0202 0202
Default 01_2019_2125 , 0202 0202 0202 0201 0202 0101 0202 0101 0202 0201 0202 0201 0202 0101 0101 0101 0101 0101 0101 0101 0201 0101 0202 0202 0202 0101 0202 0202 0101 0101 0102 0101 0201 0101 0101 0102 0202 0202 0101 0101 0101 0101 0101 0101 0101 0201 0101 0201 0202 0202 0102 0102 0202 0202 0102 0202 0202 0202 0202 0102 0202 0201 0201 0102 0202 0102 0101 0101 0202 0101 0202 0102 0202 0202 0202 0202 0101 0101 0202 0202
Default 01_2019_2126 , 0101 0101 0101 0202 0101 0202 0101 0101 0201 0201 0202 0202 0202 0102 0101 0202 0202 0101 0202 0102 0101 0102 0101 0201 0101 0202 0101 0202 0101 0202 0202 0101 0202 0201 0101 0101 0202 0202 0202 0101 0101 0101 0101 0202 0101 0201 0202 0101 0202 0101 0202 0102 0202 0101 0101 0202 0102 0202 0101 0102 0101 0101 0201 0101 0202 0101 0101 0202 0201 0101 0202 0202 0101 0202 0201 0201 0201 0101 0201 0202
Default 01_2019_2127 , 0101 0201 0101 0201 0201 0202 0101 0101 0201 0201 0202 0202 0202 0102 0101 0202 0102 0101 0202 0202 0101 0102 0201 0201 0102 0102 0101 0202 0101 0102 0202 0101 0202 0201 0101 0101 0201 0201 0102 0102 0102 0101 0102 0202 0101 0201 0202 0101 0202 0102 0202 0102 0202 0101 0101 0202 0102 0202 0101 0102 0101 0101 0201 0201 0202 0101 0101 0102 0201 0101 0201 0202 0101 0202 0201 0201 0101 0101 0101 0201
Default 01_2019_2128 , 0101 0201 0101 0201 0201 0202 0101 0101 0202 0201 0202 0202 0202 0102 0101 0202 0102 0201 0202 0101 0101 0202 0101 0201 0102 0102 0101 0202 0101 0102 0202 0101 0202 0101 0101 0101 0201 0101 0102 0101 0202 0101 0102 0202 0101 0201 0202 0101 0101 0202 0202 0102 0202 0101 0101 0202 0102 0202 0101 0202 0101 0101 0202 0201 0202 0101 0101 0102 0201 0101 0202 0202 0101 0202 0201 0202 0101 0101 0201 0201
Default 01_2019_2129 , 0101 0201 0101 0202 0201 0202 0101 0101 0101 0201 0000 0202 0202 0202 0101 0202 0101 0202 0202 0202 0101 0102 0101 0201 0202 0202 0101 0202 0101 0101 0202 0101 0202 0202 0101 0101 0201 0202 0102 0102 0202 0101 0101 0202 0101 0202 0202 0101 0202 0102 0202 0101 0202 0101 0101 0202 0102 0202 0101 0102 0101 0101 0202 0201 0202 0101 0101 0101 0101 0101 0202 0202 0101 0202 0201 0201 0101 0101 0202 0101
Default 01_2019_2130 , 0101 0201 0101 0101 0101 0202 0101 0101 0202 0202 0000 0202 0202 0202 0101 0202 0102 0202 0202 0101 0101 0102 0202 0201 0202 0101 0101 0202 0101 0202 0202 0101 0202 0201 0101 0101 0101 0201 0202 0102 0102 0101 0101 0202 0101 0201 0202 0101 0202 0202 0202 0102 0202 0101 0101 0202 0102 0202 0101 0202 0101 0101 0202 0102 0202 0101 0101 0102 0201 0101 0201 0202 0101 0202 0202 0202 0201 0101 0201 0201
